name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,car_age,km_per_year
Hyundai Grand i10 1.2 Kappa Magna AT,2017,550000,19890,Petrol,Dealer,Automatic,1,Hyundai,3,4972
Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Trustmark Dealer,Manual,1,Maruti,4,1420
Maruti Ertiga VXI,2015,625000,11918,Petrol,Trustmark Dealer,Manual,1,Maruti,5,1986
Hyundai Grand i10 Magna AT,2017,520000,10510,Petrol,Dealer,Automatic,1,Hyundai,3,2627
Chevrolet Beat LT Option,2016,239000,41000,Petrol,Dealer,Manual,1,Chevrolet,4,8200
Toyota Fortuner 4x2 AT,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,1,Toyota,3,11790
Maruti S-Cross Zeta DDiS 200 SH,2015,750000,45974,Diesel,Trustmark Dealer,Manual,1,Maruti,5,7662
Hyundai i10 Magna,2012,229999,49824,Petrol,Dealer,Manual,1,Hyundai,8,5536
Audi A6 2.0 TDI Premium Plus,2013,1300000,58500,Diesel,Dealer,Automatic,1,Audi,7,7312
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,1,Hyundai,15,3536
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,1,Skoda,8,5777
Hyundai Verna 1.6 VTVT SX,2015,760000,55340,Petrol,Trustmark Dealer,Manual,1,Hyundai,5,9223
Maruti Swift Dzire VDI,2017,600000,46507,Diesel,Trustmark Dealer,Manual,1,Maruti,3,11626
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,2,Renault,7,125
Mercedes-Benz C-Class Progressive C 220d,2018,3800000,10000,Diesel,Dealer,Automatic,1,Mercedes-Benz,2,3333
Audi A4 3.0 TDI Quattro,2013,1580000,86000,Diesel,Dealer,Automatic,1,Audi,7,10750
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,1,BMW,1,15000
Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual,Manual,1,Hyundai,4,10520
Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual,Manual,2,Maruti,8,12222
Hyundai Grand i10 1.2 Kappa Magna AT,2017,550000,19890,Petrol,Dealer,Automatic,1,Hyundai,3,4972
Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Trustmark Dealer,Manual,1,Maruti,4,1420
Maruti Ertiga VXI,2015,625000,11918,Petrol,Trustmark Dealer,Manual,1,Maruti,5,1986
Hyundai Grand i10 Magna AT,2017,520000,10510,Petrol,Dealer,Automatic,1,Hyundai,3,2627
Chevrolet Beat LT Option,2016,239000,41000,Petrol,Dealer,Manual,1,Chevrolet,4,8200
Toyota Fortuner 4x2 AT,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,1,Toyota,3,11790
Maruti S-Cross Zeta DDiS 200 SH,2015,750000,45974,Diesel,Trustmark Dealer,Manual,1,Maruti,5,7662
Hyundai i10 Magna,2012,229999,49824,Petrol,Dealer,Manual,1,Hyundai,8,5536
Audi A6 2.0 TDI Premium Plus,2013,1300000,58500,Diesel,Dealer,Automatic,1,Audi,7,7312
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,1,Hyundai,15,3536
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,1,Skoda,8,5777
Hyundai Verna 1.6 VTVT SX,2015,760000,55340,Petrol,Trustmark Dealer,Manual,1,Hyundai,5,9223
Maruti Swift Dzire VDI,2017,600000,46507,Diesel,Trustmark Dealer,Manual,1,Maruti,3,11626
Hyundai i20 Sportz 1.2,2013,350000,50000,Petrol,Individual,Manual,2,Hyundai,7,6250
Maruti Alto 800 LXI,2014,114999,30000,Petrol,Individual,Manual,1,Maruti,6,4285
Hyundai i20 Sportz 1.2,2013,380000,50000,Petrol,Individual,Manual,2,Hyundai,7,6250
Maruti Gypsy E MG410W ST,1995,95000,100000,Petrol,Individual,Manual,2,Maruti,25,3846
Mahindra Scorpio 1.99 S6 Plus,2016,900000,35000,Diesel,Individual,Manual,1,Mahindra,4,7000
Chevrolet Beat LT,2012,200999,90000,Petrol,Individual,Manual,2,Chevrolet,8,10000
Maruti Omni E MPI STD BS IV,2014,229999,11451,Petrol,Individual,Manual,1,Maruti,6,1635
Tata Nexon 1.5 Revotorq XZ,2019,800000,60000,Diesel,Individual,Manual,1,Tata,1,30000
Mahindra Verito 1.5 D4 BSIV,2012,150000,172000,Diesel,Individual,Manual,2,Mahindra,8,19111
Maruti Swift VDI,2018,600000,60000,Diesel,Individual,Manual,1,Maruti,2,20000
Chevrolet Tavera LS B3 7 Seats BSII,2005,150000,150000,Diesel,Individual,Manual,1,Chevrolet,15,9375
Chevrolet Optra Magnum 2.0 LS,2009,150000,66000,Diesel,Individual,Manual,1,Chevrolet,11,5500
Maruti Eeco 5 Seater Standard BSIV,2019,380000,5000,Petrol,Individual,Manual,1,Maruti,1,2500
Maruti Swift 1.3 VXi,2006,80000,66508,Petrol,Individual,Manual,2,Maruti,14,4433
Honda Civic 1.8 MT Sport,2007,225000,55000,Petrol,Individual,Manual,2,Honda,13,3928
Tata Nano Lx BSIV,2012,75000,29900,Petrol,Individual,Manual,1,Tata,8,3322
Tata Hexa XT 4X4,2017,1600000,3000,Diesel,Individual,Manual,1,Tata,3,750
Tata Indica Vista Quadrajet VX,2012,185000,85000,Diesel,Individual,Manual,1,Tata,8,9444
Mahindra Scorpio 2.6 CRDe SLE,2011,425000,50000,Diesel,Individual,Manual,1,Mahindra,9,5000
Tata Indica Vista Aqua 1.4 TDI,2010,100000,120000,Diesel,Individual,Manual,2,Tata,10,10909
Maruti Zen Estilo LXI BSIII,2008,140000,90000,Petrol,Individual,Manual,3,Maruti,12,6923
Maruti Swift Dzire AMT ZXI Plus BS IV,2017,710000,8000,Petrol,Individual,Automatic,1,Maruti,3,2000
Honda Amaze S AT i-Vtech,2015,450000,7900,Petrol,Individual,Automatic,1,Honda,5,1316
Datsun RediGO T Option,2017,210000,50000,Petrol,Individual,Manual,1,Datsun,3,12500
Maruti Alto K10 VXI,2016,270000,25000,Petrol,Individual,Manual,1,Maruti,4,5000
Maruti Alto LXi,2009,110000,20000,Petrol,Individual,Manual,1,Maruti,11,1666
Maruti Swift VXI,2018,540000,17500,Petrol,Individual,Manual,1,Maruti,2,5833
Mahindra Renault Logan 1.4 GLX Petrol,2008,145000,25000,Petrol,Individual,Manual,1,Mahindra,12,1923
Tata Safari Storme VX,2013,360000,206500,Diesel,Individual,Manual,1,Tata,7,25812
Hyundai i10 Magna LPG,2013,250000,88600,Other,Individual,Manual,1,Hyundai,7,11075
Tata Venture EX,2012,110000,80000,Diesel,Individual,Manual,1,Tata,8,8888
Chevrolet Captiva LT,2008,250000,100000,Diesel,Individual,Manual,4,Chevrolet,12,7692
Ford Fiesta Classic 1.4 Duratorq CLXI,2011,150000,186000,Diesel,Individual,Manual,2,Ford,9,18600
Chevrolet Aveo U-VA 1.2 LS,2010,140000,60000,Petrol,Individual,Manual,1,Chevrolet,10,5454
Maruti Ciaz Zeta BSIV,2019,925000,11000,Petrol,Individual,Manual,1,Maruti,1,5500
Tata Hexa XM,2017,969999,30000,Diesel,Individual,Manual,1,Tata,3,7500
Hyundai Santro Xing GL PLUS CNG,2007,90000,80000,Other,Individual,Manual,3,Hyundai,13,5714
Hyundai Santro GLS I - Euro I,2001,55000,60000,Petrol,Individual,Manual,3,Hyundai,19,3000
Hyundai Verna CRDi,2007,155000,100000,Diesel,Individual,Manual,4,Hyundai,13,7142
Mahindra Thar CRDe ABS,2019,900000,15000,Diesel,Individual,Manual,1,Mahindra,1,7500
Maruti Alto K10 2010-2014 VXI,2011,135000,90000,Petrol,Individual,Manual,1,Maruti,9,9000
Maruti 800 AC,2012,180000,120000,Petrol,Individual,Manual,1,Maruti,8,13333
Hyundai Verna 1.6 SX,2013,495000,100000,Diesel,Individual,Manual,2,Hyundai,7,12500
Toyota Innova 2.5 V Diesel 8-seater,2009,400000,138000,Diesel,Individual,Manual,3,Toyota,11,11500
Hyundai Verna CRDi,2008,250000,110000,Diesel,Individual,Manual,2,Hyundai,12,8461
Maruti Alto K10 LXI,2015,138000,120000,Petrol,Individual,Manual,4,Maruti,5,20000
Honda City 1.5 V AT,2011,311000,70000,Petrol,Individual,Automatic,2,Honda,9,7000
Maruti Alto 800 VXI,2015,190000,70000,Petrol,Individual,Manual,1,Maruti,5,11666
Mahindra Bolero SLX,2011,311000,140000,Diesel,Individual,Manual,1,Mahindra,9,14000
Maruti Ritz LXI,2009,300000,15000,Petrol,Individual,Manual,1,Maruti,11,1250
Honda Jazz VX,2018,600000,20000,Petrol,Individual,Manual,1,Honda,2,6666
Mahindra Scorpio SLE BSIII,2009,550000,100000,Diesel,Individual,Manual,1,Mahindra,11,8333
Skoda Rapid 1.6 MPI AT Elegance Plus,2015,600000,70000,Petrol,Individual,Automatic,1,Skoda,5,11666
Maruti Alto 800 VXI,2018,195000,5000,Petrol,Individual,Manual,1,Maruti,2,1666
Tata Nano LX,2013,58000,27974,Petrol,Individual,Manual,1,Tata,7,3496
Maruti Alto 800 VXI,2018,183000,40000,Petrol,Individual,Manual,1,Maruti,2,13333
Maruti Zen Estilo 1.1 VXI BSIII,2007,95000,80000,Petrol,Individual,Manual,1,Maruti,13,5714
Maruti Wagon R LX Minor,2013,250000,38000,Petrol,Individual,Manual,1,Maruti,7,4750
Maruti Wagon R LX Minor,2013,250000,38000,Petrol,Individual,Manual,1,Maruti,7,4750
Tata Zest Revotron 1.2 XT,2014,400000,35000,Petrol,Individual,Manual,1,Tata,6,5000
Hyundai Verna 1.6 SX CRDi (O),2012,409999,60000,Diesel,Individual,Manual,2,Hyundai,8,6666
Skoda Octavia Classic 1.9 TDI MT,2004,120000,120000,Diesel,Individual,Manual,2,Skoda,16,7058
Maruti Swift AMT VXI,2018,600000,18000,Petrol,Individual,Automatic,1,Maruti,2,6000
Honda Amaze SX i-VTEC,2016,600000,10000,Petrol,Individual,Manual,1,Honda,4,2000
Mahindra XUV500 W6 2WD,2015,825000,90000,Diesel,Individual,Manual,3,Mahindra,5,15000
Toyota Etios GD,2016,625000,80000,Diesel,Individual,Manual,2,Toyota,4,16000
Hyundai Grand i10 Nios Magna CRDi,2020,700000,1400,Diesel,Individual,Manual,1,Hyundai,0,1400
Chevrolet Beat LS,2011,160000,60000,Petrol,Individual,Manual,1,Chevrolet,9,6000
Maruti Alto LX,2011,114999,60000,Petrol,Individual,Manual,3,Maruti,9,6000
Maruti Wagon R LXI Minor,2009,150000,53000,Petrol,Individual,Manual,1,Maruti,11,4416
Volkswagen Jetta 1.9 L TDI,2010,250000,100000,Diesel,Dealer,Manual,1,Volkswagen,10,9090
Hyundai Verna 1.6 SX,2012,390000,86000,Diesel,Dealer,Manual,2,Hyundai,8,9555
Renault Duster 85PS Diesel RxL,2015,650000,100000,Diesel,Individual,Manual,1,Renault,5,16666
Hyundai Xcent 1.1 CRDi SX Option,2016,600000,30000,Diesel,Individual,Manual,1,Hyundai,4,6000
Hyundai i20 1.2 Sportz,2011,250000,120000,Petrol,Individual,Manual,1,Hyundai,9,12000
Hyundai Santro Xing GL Plus LPG,2011,229999,60000,Other,Individual,Manual,2,Hyundai,9,6000
Maruti Ritz LDi,2016,299000,50000,Diesel,Individual,Manual,2,Maruti,4,10000
Chevrolet Cruze LTZ,2010,330000,124000,Diesel,Individual,Manual,2,Chevrolet,10,11272
Hyundai Accent Executive,2012,180000,100000,Petrol,Individual,Manual,3,Hyundai,8,11111
Hyundai Grand i10 1.2 Kappa Asta,2017,475000,42000,Petrol,Individual,Manual,1,Hyundai,3,10500
Hyundai Grand i10 CRDi Sportz,2015,325000,100000,Diesel,Individual,Manual,1,Hyundai,5,16666
Honda City i VTEC V,2016,639000,28205,Petrol,Dealer,Manual,1,Honda,4,5641
Maruti Celerio VXI AT,2017,415000,32670,Petrol,Dealer,Automatic,1,Maruti,3,8167
Hyundai Creta 1.6 CRDi AT SX Plus,2016,1199000,30093,Diesel,Dealer,Automatic,1,Hyundai,4,6018
Maruti Ertiga VXI CNG,2013,525000,56228,Other,Dealer,Manual,1,Maruti,7,7028
Hyundai Verna 1.6 SX VTVT,2013,425000,59319,Petrol,Dealer,Manual,1,Hyundai,7,7414
Maruti Vitara Brezza VDi,2016,699000,39503,Diesel,Dealer,Manual,1,Maruti,4,7900
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2013,325000,35299,Petrol,Dealer,Manual,1,Hyundai,7,4412
Toyota Etios V,2011,275000,51687,Petrol,Dealer,Manual,1,Toyota,9,5168
Volkswagen Vento Petrol Highline AT,2011,269000,76259,Petrol,Dealer,Automatic,1,Volkswagen,9,7625
Volkswagen Polo Diesel Highline 1.2L,2013,399000,44049,Diesel,Dealer,Manual,1,Volkswagen,7,5506
Mahindra KUV 100 mFALCON D75 K8,2017,475000,45087,Diesel,Dealer,Manual,1,Mahindra,3,11271
Toyota Etios V,2011,249000,41125,Petrol,Dealer,Manual,1,Toyota,9,4112
Audi A4 New  2.0 TDI Multitronic,2014,1549000,42215,Diesel,Dealer,Automatic,1,Audi,6,6030
Volkswagen Polo Petrol Highline 1.2L,2011,254999,54206,Petrol,Dealer,Manual,1,Volkswagen,9,5420
Skoda Rapid 1.6 MPI Active,2012,269000,52547,Petrol,Dealer,Manual,1,Skoda,8,5838
Maruti Ertiga ZDI,2014,665000,59110,Diesel,Dealer,Manual,1,Maruti,6,8444
Maruti Wagon R Stingray LXI,2014,299000,54565,Petrol,Dealer,Manual,1,Maruti,6,7795
Hyundai i20 Asta,2010,265000,47564,Petrol,Dealer,Manual,2,Hyundai,10,4324
Volkswagen Polo Petrol Highline 1.2L,2010,211000,45143,Petrol,Dealer,Manual,2,Volkswagen,10,4103
Skoda Superb 1.8 TSI,2013,599000,61624,Petrol,Dealer,Automatic,2,Skoda,7,7703
Tata Indigo LS,2007,55000,195000,Diesel,Individual,Manual,3,Tata,13,13928
Hyundai Verna 1.6 SX CRDi (O),2014,550000,50000,Diesel,Individual,Manual,1,Hyundai,6,7142
Land Rover Discovery Sport TD4 HSE 7S,2018,4000000,68000,Diesel,Individual,Automatic,1,Other,2,22666
Tata Sumo GX TC 8 Str,2010,220000,120000,Diesel,Individual,Manual,2,Tata,10,10909
Maruti Swift VXI,2019,500000,20000,Petrol,Individual,Manual,1,Maruti,1,10000
Maruti Alto LXi,2010,140000,30000,Petrol,Individual,Manual,1,Maruti,10,2727
Maruti Swift VDI,2013,325000,60000,Diesel,Individual,Manual,1,Maruti,7,7500
Hyundai i20 Magna,2010,210000,90000,Petrol,Individual,Manual,3,Hyundai,10,8181
Maruti Alto LXi,2008,110000,90000,Petrol,Individual,Manual,2,Maruti,12,6923
Hyundai Verna CRDi 1.6 SX Option,2019,1200000,25000,Diesel,Individual,Manual,1,Hyundai,1,12500
Maruti Alto 800 VXI,2017,229999,40000,Petrol,Individual,Manual,1,Maruti,3,10000
Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual,Manual,2,Maruti,8,12222
Maruti Alto 800 LXI,2006,165000,132000,Petrol,Individual,Manual,1,Maruti,14,8800
Tata Tiago XZA AMT,2018,525000,10980,Petrol,Dealer,Automatic,1,Tata,2,3660
Hyundai EON Era Plus,2018,325000,20629,Petrol,Dealer,Manual,1,Hyundai,2,6876
Toyota Innova Crysta 2.4 VX MT BSIV,2018,1500000,50000,Diesel,Individual,Manual,1,Toyota,2,16666
Hyundai Grand i10 AT Asta,2015,400000,30000,Petrol,Individual,Automatic,1,Hyundai,5,5000
Maruti Ciaz VXi,2015,550000,69782,Petrol,Dealer,Manual,1,Maruti,5,11630
Maruti 800 Std,2003,98000,54000,Petrol,Individual,Manual,1,Maruti,17,3000
Mahindra XUV500 W8 4WD,2013,900000,63654,Diesel,Dealer,Manual,1,Mahindra,7,7956
Renault Lodgy 85PS RxL,2017,700000,60000,Diesel,Individual,Manual,1,Renault,3,15000
Mahindra Scorpio S6 Plus 7 Seater,2015,890000,52000,Diesel,Dealer,Manual,1,Mahindra,5,8666
Maruti Swift LDI BSIV,2015,490000,59385,Diesel,Dealer,Manual,1,Maruti,5,9897
Hyundai i20 2015-2017 Magna 1.2,2015,525000,70378,Petrol,Dealer,Manual,1,Hyundai,5,11729
Maruti Wagon R LXI BS IV,2013,330000,55425,Petrol,Dealer,Manual,1,Maruti,7,6928
Mahindra Bolero 2011-2019 SLX 2WD BSIII,2013,550000,78413,Diesel,Dealer,Manual,2,Mahindra,7,9801
Mahindra Bolero Power Plus SLX,2018,790000,40890,Diesel,Dealer,Manual,1,Mahindra,2,13630
Honda Brio S MT,2015,350000,34823,Petrol,Dealer,Manual,2,Honda,5,5803
Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1700000,75000,Diesel,Individual,Automatic,1,Toyota,3,18750
Maruti Ciaz VDI SHVS,2017,750000,55545,Diesel,Dealer,Manual,1,Maruti,3,13886
Honda Amaze EX i-Dtech,2014,409999,56541,Diesel,Dealer,Manual,1,Honda,6,8077
Hyundai EON Magna Plus,2016,220000,43700,Petrol,Individual,Manual,1,Hyundai,4,8740
Tata Indica GLS BS IV,2009,68000,120000,Petrol,Individual,Manual,2,Tata,11,10000
Hyundai EON Era Plus,2017,290000,20000,Petrol,Individual,Manual,1,Hyundai,3,5000
Honda City i DTec SV,2014,600000,27483,Diesel,Dealer,Manual,1,Honda,6,3926
Maruti Swift LXI,2019,470000,8000,Petrol,Individual,Manual,1,Maruti,1,4000
Hyundai i10 Sportz 1.2,2008,150000,30000,Petrol,Individual,Manual,1,Hyundai,12,2307
Maruti Alto 800 LXI,2014,180000,56207,Petrol,Dealer,Manual,2,Maruti,6,8029
Maruti Zen LXI,2006,80000,70000,Petrol,Individual,Manual,1,Maruti,14,4666
Honda WR-V i-VTEC VX,2018,875000,1440,Petrol,Individual,Manual,1,Honda,2,480
Maruti Alto 800 LXI,2019,300000,50000,Petrol,Individual,Manual,1,Maruti,1,25000
Toyota Fortuner 2.8 2WD AT BSIV,2017,2800000,20000,Diesel,Individual,Automatic,1,Toyota,3,5000
Toyota Innova Crysta 2.4 ZX MT,2017,1330000,91195,Diesel,Dealer,Manual,1,Toyota,3,22798
Volkswagen Polo 1.5 TDI Trendline,2011,220000,63657,Diesel,Dealer,Manual,1,Volkswagen,9,6365
Mahindra Verito Vibe 1.5 dCi D4,2013,250000,60000,Diesel,Individual,Manual,1,Mahindra,7,7500
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,919999,75000,Diesel,Dealer,Manual,1,Toyota,4,15000
Volkswagen Vento Magnific 1.6 Highline,2013,380000,97248,Petrol,Dealer,Manual,1,Volkswagen,7,12156
Maruti Swift VDI,2012,450000,46000,Diesel,Individual,Manual,1,Maruti,8,5111
Hyundai Verna 1.6 VTVT AT S Option,2016,770000,10000,Petrol,Individual,Automatic,1,Hyundai,4,2000
Maruti Swift Dzire LDI,2018,550000,80000,Diesel,Individual,Manual,1,Maruti,2,26666
Tata New Safari DICOR 2.2 GX 4x2,2011,320000,100000,Diesel,Individual,Manual,2,Tata,9,10000
Maruti SX4 Vxi BSIV,2013,400000,35000,Petrol,Individual,Manual,1,Maruti,7,4375
Maruti Celerio VXI AT,2017,450000,50000,Petrol,Individual,Automatic,1,Maruti,3,12500
Maruti SX4 ZDI,2011,220000,90000,Diesel,Individual,Manual,3,Maruti,9,9000
Mahindra XUV500 W8 2WD,2012,400000,150000,Diesel,Individual,Manual,2,Mahindra,8,16666
Hyundai Verna 1.6 SX VTVT (O),2013,530000,89000,Petrol,Individual,Manual,2,Hyundai,7,11125
Maruti Swift Dzire VDI,2014,390000,60000,Diesel,Individual,Manual,2,Maruti,6,8571
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,185000,100000,Diesel,Individual,Manual,2,Fiat,8,11111
Maruti SX4 Vxi BSIV,2012,300000,100000,Petrol,Individual,Manual,2,Maruti,8,11111
Maruti Swift VDI BSIV,2014,575000,90000,Diesel,Individual,Manual,2,Maruti,6,12857
Maruti Wagon R Stingray VXI,2014,300000,75000,Petrol,Individual,Manual,1,Maruti,6,10714
Toyota Etios Liva 1.4 VD,2017,425000,36000,Diesel,Dealer,Manual,1,Toyota,3,9000
Hyundai Xcent 1.2 Kappa SX,2016,350000,12000,Petrol,Individual,Manual,1,Hyundai,4,2400
Honda Amaze VX O iDTEC,2017,550000,12997,Diesel,Dealer,Manual,1,Honda,3,3249
Maruti Ciaz 1.4 AT Zeta,2017,500000,40000,Petrol,Individual,Automatic,1,Maruti,3,10000
Mahindra Scorpio S4 4WD,2015,600000,60000,Diesel,Individual,Manual,1,Mahindra,5,10000
Mahindra Quanto C8,2013,300000,25000,Diesel,Individual,Manual,2,Mahindra,7,3125
Hyundai Verna CRDi 1.6 SX Option,2018,1150000,26430,Diesel,Dealer,Manual,1,Hyundai,2,8810
Maruti Swift 1.3 VXI ABS,2015,475000,24600,Petrol,Dealer,Manual,1,Maruti,5,4100
Maruti Wagon R LXI,2011,260000,28481,Petrol,Dealer,Manual,1,Maruti,9,2848
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,350000,100000,Petrol,Individual,Manual,1,Ford,7,12500
Mahindra XUV500 W8 2WD,2013,750000,41988,Diesel,Dealer,Manual,1,Mahindra,7,5248
Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,1,Maruti,11,2531
Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,1,Renault,3,1914
Maruti Swift Dzire VDI,2017,611000,34400,Diesel,Dealer,Manual,1,Maruti,3,8600
Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,1,Renault,3,4625
Hyundai EON 1.0 Era Plus,2012,225000,48000,Petrol,Dealer,Manual,1,Hyundai,8,5333
Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Dealer,Automatic,1,Maruti,6,4134
Mahindra Bolero Power Plus SLX,2017,400000,50000,Diesel,Individual,Manual,2,Mahindra,3,12500
Mahindra XUV500 W8 2WD,2012,711000,53600,Diesel,Dealer,Manual,1,Mahindra,8,5955
Toyota Innova 2.5 G (Diesel) 8 Seater,2015,851000,53652,Diesel,Dealer,Manual,1,Toyota,5,8942
Maruti Ertiga VXI,2014,500000,25000,Petrol,Individual,Manual,1,Maruti,6,3571
Toyota Innova 2.5 G4 Diesel 8-seater,2007,250000,80000,Diesel,Individual,Manual,2,Toyota,13,5714
Maruti Alto 800 VXI,2017,150000,50000,Petrol,Individual,Manual,1,Maruti,3,12500
Mahindra Scorpio 1.99 S10,2016,610000,15000,Diesel,Individual,Manual,2,Mahindra,4,3000
Mahindra KUV 100 G80 K2,2018,450000,5000,Petrol,Individual,Manual,1,Mahindra,2,1666
Hyundai i20 1.4 Asta Option,2017,744000,106000,Diesel,Individual,Manual,1,Hyundai,3,26500
Chevrolet Spark 1.0,2008,120000,100000,Petrol,Individual,Manual,3,Chevrolet,12,7692
Renault KWID RXL,2016,220000,60000,Petrol,Individual,Manual,3,Renault,4,12000
Maruti Ertiga ZDI,2012,480000,120000,Diesel,Individual,Manual,4,Maruti,8,13333
Maruti Celerio ZXI Optional AMT BSIV,2017,370000,82000,Petrol,Individual,Automatic,1,Maruti,3,20500
Fiat Palio D 1.9 EL PS,2003,55000,35000,Diesel,Individual,Manual,2,Fiat,17,1944
Hyundai EON Magna Plus,2013,125000,205000,Petrol,Individual,Manual,1,Hyundai,7,25625
Hyundai Verna 1.6 CRDI,2011,260000,125000,Diesel,Individual,Manual,3,Hyundai,9,12500
Fiat Linea Classic 1.3 Multijet,2015,350000,130000,Diesel,Individual,Manual,1,Fiat,5,21666
Maruti Alto 800 CNG LXI,2012,170000,97000,Other,Individual,Manual,2,Maruti,8,10777
Hyundai Grand i10 Sportz,2015,350000,90000,Petrol,Individual,Manual,2,Hyundai,5,15000
Maruti Swift Dzire VXi,2009,250000,60000,Petrol,Individual,Manual,3,Maruti,11,5000
Tata Indigo CR4,2013,170000,60000,Diesel,Individual,Manual,1,Tata,7,7500
Mahindra Scorpio S11 BSIV,2018,1300000,35000,Diesel,Individual,Manual,1,Mahindra,2,11666
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,25000,Petrol,Individual,Manual,1,Hyundai,1,12500
Honda Brio 1.2 S MT,2017,400000,15000,Petrol,Individual,Manual,1,Honda,3,3750
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,1,Tata,9,2000
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,1,Tata,9,2000
Ford Figo Petrol Titanium,2010,275000,70000,Petrol,Individual,Manual,1,Ford,10,6363
Tata Zest Revotron 1.2T XE,2016,285000,90000,Petrol,Individual,Manual,1,Tata,4,18000
Hyundai Creta 1.4 CRDi Base,2016,900000,80000,Diesel,Individual,Manual,1,Hyundai,4,16000
Mercedes-Benz M-Class ML 350 CDI,2014,2500000,79500,Diesel,Individual,Automatic,2,Mercedes-Benz,6,11357
Hyundai Verna 1.6 SX CRDi (O),2013,620000,70000,Diesel,Individual,Manual,2,Hyundai,7,8750
Toyota Innova Crysta 2.4 GX MT 8S BSIV,2018,1700000,5000,Diesel,Individual,Manual,1,Toyota,2,1666
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2018,650000,15000,Petrol,Individual,Manual,1,Ford,2,5000
Maruti Ertiga VXI,2014,500000,35000,Petrol,Individual,Manual,1,Maruti,6,5000
Tata New Safari DICOR 2.2 EX 4x4,2009,250000,120000,Diesel,Individual,Manual,2,Tata,11,10000
Mahindra Marazzo M4,2018,950000,15000,Diesel,Individual,Manual,2,Mahindra,2,5000
Toyota Etios Cross 1.2L G,2015,320000,60000,Petrol,Individual,Manual,1,Toyota,5,10000
Renault Duster 110PS Diesel RxZ,2013,450000,120000,Diesel,Individual,Manual,1,Renault,7,15000
Mahindra KUV 100 mFALCON D75 K8 AW,2016,350000,90000,Diesel,Individual,Manual,1,Mahindra,4,18000
Maruti Swift Dzire VXI,2015,400000,90000,Petrol,Individual,Manual,1,Maruti,5,15000
Maruti Omni MPI STD BSIV,2018,200000,10000,Petrol,Individual,Manual,1,Maruti,2,3333
Hyundai i20 Asta 1.4 CRDi (Diesel),2009,250000,72000,Diesel,Individual,Manual,2,Hyundai,11,6000
Toyota Innova 2.0 GX 8 STR BSIV,2011,550000,197000,Petrol,Individual,Manual,2,Toyota,9,19700
Maruti Zen LXI,1999,85000,70000,Petrol,Individual,Manual,2,Maruti,21,3181
Hyundai Santro LP zipPlus,2001,52000,50000,Petrol,Individual,Manual,3,Hyundai,19,2500
Tata Hexa XTA,2017,1200000,50000,Diesel,Individual,Automatic,1,Tata,3,12500
Hyundai Verna 1.6 SX VTVT AT,2011,450000,60000,Petrol,Individual,Automatic,3,Hyundai,9,6000
Maruti Swift Dzire VXI 1.2 BS IV,2018,615000,40000,Petrol,Individual,Manual,1,Maruti,2,13333
Maruti SX4 ZDI Leather,2012,400000,60000,Diesel,Individual,Manual,2,Maruti,8,6666
Tata Nano LX,2013,60000,40000,Petrol,Individual,Manual,1,Tata,7,5000
Maruti Ignis 1.2 Alpha BSIV,2017,500000,9161,Petrol,Individual,Manual,1,Maruti,3,2290
Honda Mobilio V i VTEC,2015,600000,45000,Petrol,Individual,Manual,1,Honda,5,7500
Hyundai Getz 1.3 GVS,2010,110000,110000,Petrol,Individual,Manual,1,Hyundai,10,10000
Hyundai Santro Xing GL Plus,2013,175000,80000,Petrol,Individual,Manual,1,Hyundai,7,10000
Ford Fiesta Titanium 1.5 TDCi,2011,325000,100000,Diesel,Individual,Manual,2,Ford,9,10000
Maruti Swift Dzire LDI,2017,425000,90000,Diesel,Individual,Manual,1,Maruti,3,22500
